appid,linux,mac,windows
10,1,1,1
20,1,1,1
30,1,1,1
40,1,1,1
50,1,1,1
60,1,1,1
70,1,1,1
80,1,1,1
130,1,1,1
220,1,1,1
240,1,1,1
280,1,1,1
300,1,1,1
320,1,1,1
340,1,1,1
360,1,1,1
380,1,1,1
400,1,1,1
420,1,1,1
440,1,1,1
500,0,1,1
550,1,1,1
570,1,1,1
620,1,1,1
630,0,0,1
730,1,1,1
1002,0,0,1
1200,1,1,1
1250,1,1,1
1300,0,0,1
1500,1,1,1
1510,1,1,1
1520,1,1,1
1530,0,1,1
1600,0,0,1
1610,0,0,1
1630,0,0,1
1640,0,0,1
1670,0,0,1
1690,0,0,1
1700,0,0,1
1840,0,0,1
1900,1,1,1
1930,1,1,1
2100,0,0,1
2200,0,0,1
2210,0,0,1
2270,0,0,1
2280,0,0,1
2290,0,0,1
2300,0,0,1
2310,0,0,1
2320,0,0,1
2330,0,0,1
2340,0,0,1
2350,0,0,1
2360,0,0,1
2370,0,0,1
2390,0,0,1
2400,0,0,1
2450,0,0,1
2500,0,1,1
2520,0,0,1
2590,0,0,1
2600,0,0,1
2610,0,0,1
2620,0,0,1
2630,0,1,1
2640,0,0,1
2710,0,0,1
2720,0,0,1
2780,0,0,1
2800,0,0,1
2810,1,1,1
2820,1,1,1
2840,0,0,1
2850,0,0,1
2870,1,1,1
2900,0,0,1
2910,0,0,1
2920,0,0,1
2990,0,0,1
3010,0,0,1
3020,0,0,1
3050,0,0,1
3130,0,0,1
3170,0,1,1
3230,0,0,1
3260,0,0,1
3270,0,0,1
3330,0,1,1
3410,0,0,1
3480,0,1,1
3483,0,0,1
3490,0,0,1
3500,0,0,1
3510,0,0,1
3520,0,0,1
3530,0,0,1
3540,0,1,1
3560,0,0,1
3570,0,0,1
3580,0,0,1
3590,0,1,1
3600,0,1,1
3610,0,0,1
3620,0,0,1
3700,0,0,1
3710,0,0,1
3720,0,0,1
3730,0,0,1
3800,0,0,1
3810,0,0,1
3820,0,0,1
3830,1,1,1
3900,0,1,1
3910,0,0,1
3920,0,0,1
3960,0,0,1
3980,0,0,1
3990,0,1,1
4000,1,1,1
4100,0,0,1
4230,0,0,1
4290,0,0,1
4300,0,0,1
4420,0,0,1
4460,0,0,1
4470,0,0,1
4500,0,0,1
4520,0,0,1
4530,0,0,1
4560,0,0,1
4570,0,0,1
4580,0,0,1
4700,1,1,1
4720,0,0,1
4760,0,0,1
4770,0,0,1
4780,1,1,1
4800,0,0,1
4850,0,0,1
4870,0,0,1
4880,0,0,1
4890,0,0,1
4900,0,0,1
4920,1,0,1
6000,0,0,1
6010,0,1,1
6020,0,1,1
6030,0,1,1
6040,0,1,1
6060,0,0,1
6080,0,0,1
6090,0,0,1
6120,1,1,1
6200,0,0,1
6210,0,0,1
6220,0,0,1
6250,0,0,1
6270,0,0,1
6300,0,0,1
6310,0,0,1
6370,0,0,1
6400,0,0,1
6420,0,0,1
6510,0,0,1
6550,0,0,1
6800,0,0,1
6810,0,0,1
6830,0,0,1
6840,0,0,1
6850,0,0,1
6860,0,0,1
6870,0,0,1
6880,0,0,1
6900,0,0,1
6910,0,0,1
6920,0,0,1
6980,0,0,1
7000,0,0,1
7010,0,0,1
7020,0,0,1
7110,0,0,1
7200,0,0,1
7210,0,0,1
7220,0,0,1
7260,0,0,1
7340,0,0,1
7510,1,1,1
7520,0,1,1
7530,0,1,1
7600,0,1,1
7610,0,0,1
7620,0,0,1
7650,0,0,1
7660,0,0,1
7730,0,0,1
7760,0,0,1
7770,0,0,1
7830,0,0,1
7840,0,0,1
7860,0,0,1
7940,0,1,1
8000,0,0,1
8080,0,0,1
8100,0,0,1
8140,0,0,1
8170,0,0,1
8190,0,0,1
8310,0,0,1
8320,0,0,1
