"","appid","name","developer","publisher","price","year","duenos_promedio","rating_neto","rating_perc","Action","Free to Play","Strategy","Adventure","Indie","RPG","Casual","Simulation","Racing","Violent","Massively Multiplayer","Nudity","Sports","Early Access","Gore","Sexual Content"
"1",10,"Counter-Strike","Valve","Valve",7801,2000,1.5e+07,121195,0.973888154653445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",20,"Team Fortress Classic","Valve","Valve",4329,1999,7500000,2685,0.839787395596052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",30,"Day of Defeat","Valve","Valve",4329,2003,7500000,3018,0.895647614053487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",40,"Deathmatch Classic","Valve","Valve",4329,2001,7500000,1006,0.826623376623377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",50,"Half-Life: Opposing Force","Gearbox Software","Valve",4329,1999,7500000,4962,0.947995666305525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",60,"Ricochet","Valve","Valve",4329,2000,7500000,2074,0.801278326554329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",70,"Half-Life","Valve","Valve",7801,1998,7500000,26655,0.96187835730376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",80,"Counter-Strike: Condition Zero","Valve","Valve",7801,2004,1.5e+07,10681,0.893871229441699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",130,"Half-Life: Blue Shift","Gearbox Software","Valve",4329,2001,7500000,3402,0.900990099009901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",220,"Half-Life 2","Valve","Valve",7801,2004,1.5e+07,65483,0.965600602949332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",240,"Counter-Strike: Source","Valve","Valve",7801,2004,1.5e+07,73143,0.95636222968167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",280,"Half-Life: Source","Valve","Valve",0,2004,3500000,2714,0.781535269709544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",300,"Day of Defeat: Source","Valve","Valve",7801,2010,7500000,9279,0.896572356611676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
