,appid,name,developer,publisher,price,year,duenos_promedio,rating_neto,rating_perc,Action,Free to Play,Strategy,Adventure,Indie,RPG,Casual,Simulation,Racing,Violent,Massively Multiplayer,Nudity,Sports,Early Access,Gore,Sexual Content,Target
0,10,Counter-Strike,Valve,Valve,7801,2000,15000000.0,121195,0.9738881546534449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,20,Team Fortress Classic,Valve,Valve,4329,1999,7500000.0,2685,0.839787395596052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2,30,Day of Defeat,Valve,Valve,4329,2003,7500000.0,3018,0.895647614053487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,40,Deathmatch Classic,Valve,Valve,4329,2001,7500000.0,1006,0.826623376623377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,50,Half-Life: Opposing Force,Gearbox Software,Valve,4329,1999,7500000.0,4962,0.947995666305525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5,60,Ricochet,Valve,Valve,4329,2000,7500000.0,2074,0.8012783265543291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6,70,Half-Life,Valve,Valve,7801,1998,7500000.0,26655,0.96187835730376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,80,Counter-Strike: Condition Zero,Valve,Valve,7801,2004,15000000.0,10681,0.8938712294416991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8,130,Half-Life: Blue Shift,Gearbox Software,Valve,4329,2001,7500000.0,3402,0.9009900990099008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,220,Half-Life 2,Valve,Valve,7801,2004,15000000.0,65483,0.965600602949332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10,240,Counter-Strike: Source,Valve,Valve,7801,2004,15000000.0,73143,0.9563622296816701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
11,280,Half-Life: Source,Valve,Valve,0,2004,3500000.0,2714,0.781535269709544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
12,300,Day of Defeat: Source,Valve,Valve,7801,2010,7500000.0,9279,0.8965723566116759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
13,320,Half-Life 2: Deathmatch,Valve,Valve,4329,2004,15000000.0,5233,0.88438372263846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
14,340,Half-Life 2: Lost Coast,Valve,Valve,0,2005,15000000.0,4763,0.8500661472879609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
15,360,Half-Life Deathmatch: Source,Valve,Valve,0,2006,7500000.0,889,0.742234332425068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,380,Half-Life 2: Episode One,Valve,Valve,6282,2006,7500000.0,7391,0.938635014836795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
17,400,Portal,Valve,Valve,7801,2007,15000000.0,50721,0.97957678561298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
18,420,Half-Life 2: Episode Two,Valve,Valve,6282,2007,7500000.0,13206,0.952322235922729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
19,440,Team Fortress 2,Valve,Valve,0,2007,35000000.0,481843,0.9381067983233771,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,500,Left 4 Dead,Valve,Valve,7801,2008,7500000.0,17003,0.9498386157997779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
21,550,Left 4 Dead 2,Valve,Valve,7801,2009,15000000.0,243371,0.9676488334287701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,570,Dota 2,Valve,Valve,0,2013,150000000.0,721428,0.8587102445738108,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,620,Portal 2,Valve,Valve,7801,2011,15000000.0,136329,0.986503557893385,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
24,630,Alien Swarm,Valve,Valve,0,2010,3500000.0,16494,0.948791902481498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
25,730,Counter-Strike: Global Offensive,Valve;Hidden Path Entertainment,Valve,0,2012,75000000.0,2242091,0.867951962719215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1002,Rag Doll Kung Fu,Mark Healey,Mark Healey,6499,2005,35000.0,23,0.701754385964912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
